category_num, cat_name, num_entries, gold_beer, gold_brewery, gold_city, gold_state, silver_beer, silver_brewery, silver_city, silver_state, bronze_beer, bronze_brewery, bronze_city, bronze_state
1, American-Style Wheat Beer, 58, Gold: Super 77 Wheat, Wiley Roots Brewing Co., Greeley, CO, Silver: Whacked Out Wheat, Telluride Brewing Co., Telluride, CO, Bronze: Mogabi, Elevator Brewing Co. - Production Facility, Columbus, OH
2, American-Style Wheat Beer With Yeast, 41, Gold: The Big O, O’so Brewing, Plover, WI, Silver: WeldWerks Hefeweizen, WeldWerks Brewing Co., Greeley, CO, Bronze: Boulder Bend Dunkelweizen, Fish Brewing Co., Olympia, WA
3, American-Style Fruit Beer, 87, Gold: Chchchch-Cherry Bomb, Melvin Brewing, Jackson, WY, Silver: Rasplendent, Mazama Brewing Co., Corvallis, OR, Bronze: Apricot Blonde, Dry Dock Brewing Co. - Production Facility, Aurora, CO
4, Fruit Wheat Beer, 69, Gold: Magnolia’s Peach, BJ’s Restaurant & Brewery - Chandler, Chandler, AZ, Silver: You’re My Boy, Blue!, Brew Bus Brewing, Tampa, FL, Bronze: Purple Line, Smylie Brothers Brewing Co., Evanston, IL
5, Belgian-Style Fruit Beer, 63, Gold: xReserve Ale 05-15 Peach and Ginger Saison, Saucony Creek Brewing Co., Kutztown, PA, Silver: Kumquat Saison, Smog City Brewing, Torrance, CA, Bronze: Cherry Busey, Sun King Brewing Co., Indianapolis, IN
6, Pumpkin Beer, 56, Silver: Pumpkin Grinder, Mankato Brewery, Mankato, MN, Bronze: The Great Pumpkin Ale, Great Basin Brewing Co. - Sparks, Sparks, NV
7, Field Beer, 52, Gold: Beets, Rhymes and Life, Fonta Flora Brewery, Morganton, NC, Silver: Window Seat Coconut Almond Porter, Baxter Brewing Co., Auburn, ME, Bronze: Coconut Porter, Broken Compass Brewing, Breckenridge, CO
8, Chili Beer, 79, Gold: Fire Tiger, Lander Brewing Co., Lander, WY, Silver: Heir Apparent, Lickinghole Creek Craft Brewery, Goochland, VA, Bronze: Ballast Point Pale Ale with Serrano, Ballast Point Brewing & Spirits - Scripps Ranch, , San Diego, CA
9, Herb and Spice Beer, 142, Gold: Garden Party, Free State Brewing Co., Lawrence, KS, Silver: Allergeez, Panther Island Brewing Co., Fort Worth, TX, Bronze: Oatmeal Raisin Cookie Ale, Aftershock Brewing Co., Temecula, CA
10, Chocolate Beer, 65, Gold: The Velvet Hog, TAPS Fish House & Brewery - Corona, Corona, CA, Silver: El Toro Coco Chocolate Stout, El Toro Brewing Co., Morgan Hill, CA, Bronze: Wonka Bar, Mispillion River Brewing, Milford, DE
